postcode,advantage-score,disadvantage-score,economic-score,occupation-score,population-estimate
800,1072,1060,952,1077,4564
810,1037,1027,1008,1051,29725
812,1019,1013,1015,1007,19334
820,1076,1067,1008,1081,19057
822,702,630,645,882,24120
828,972,970,958,973,1699
829,948,974,929,972,1138
830,996,991,991,966,17990
832,1076,1069,1060,1013,9671
835,1054,1054,1087,991,5194
836,1041,1035,1088,968,7092
837,987,990,1023,949,527
838,994,995,1024,984,735
840,847,862,915,903,555
841,949,963,1003,895,693
845,860,841,824,989,338
846,875,887,902,923,235
847,829,826,817,898,381
850,941,937,915,981,7582
852,689,623,656,867,7968
853,1094,1144,1031,1017,743
854,690,641,633,857,919
860,866,848,830,988,3060
862,791,764,764,898,696
870,1010,1006,988,1025,25181
872,673,592,628,899,12344
880,916,903,862,981,5951
885,1058,1085,990,1018,980
886,987,1004,919,1015,1126
2000,1018,973,806,1146,22761
2007,1016,974,801,1154,7113
2008,1056,1025,852,1171,6299
2009,1084,1055,933,1172,11625
2010,1070,1043,905,1167,25402
2011,1053,1035,884,1166,18045
2015,1109,1087,1004,1168,8431
2016,1012,973,891,1104,12038
2017,986,941,837,1107,14472
2018,977,965,943,1018,15397
2019,1033,1026,1026,1025,8928
2020,1021,1013,994,1022,10178
2021,1119,1099,999,1196,14258
2022,1083,1061,978,1150,11586
2023,1145,1118,1074,1194,10768
2024,1108,1086,1032,1162,11088
2025,1124,1100,1028,1200,7173
2026,1098,1077,980,1161,30427
2027,1118,1102,1004,1197,7316
2028,1120,1100,1006,1189,4682
2029,1111,1091,1026,1169,9392
2030,1144,1117,1101,1179,13893
2031,1099,1079,998,1158,32331
2032,1020,992,901,1114,15266
2033,1074,1052,953,1149,10970
2034,1086,1066,986,1143,19101
2035,1044,1024,984,1087,33222
2036,1002,993,986,1010,26903
2037,1031,1001,900,1149,13834
2038,1108,1087,1022,1175,8665
2039,1134,1108,1055,1190,7924
2040,1083,1056,1013,1146,20862
2041,1118,1091,1033,1188,14747
2042,1085,1065,950,1169,17727
2043,1115,1090,991,1191,6848
2044,1045,1022,997,1083,7189
2045,1073,1056,1062,1093,6651
2046,1076,1056,1030,1108,25180
2047,1115,1093,1043,1156,11374
2048,1093,1074,998,1160,7699
2049,1060,1042,978,1129,10449
2050,1108,1086,959,1209,6705
2060,1120,1103,981,1206,12266
2061,1108,1080,953,1213,5683
2062,1123,1102,1029,1185,6778
2063,1156,1124,1122,1191,5928
2064,1095,1071,996,1164,8626
2065,1130,1108,1021,1196,27165
2066,1128,1105,1072,1170,27635
2067,1081,1052,987,1154,22633
2068,1129,1100,1093,1161,15903
2069,1153,1123,1128,1178,13298
2070,1150,1119,1113,1179,12277
2071,1144,1110,1106,1181,12151
2072,1135,1101,1093,1175,6598
2073,1160,1125,1139,1182,15737
2074,1152,1120,1125,1172,20930
2075,1164,1127,1146,1175,18635
2076,1137,1105,1115,1161,23770
2077,1062,1050,1010,1102,34909
2079,1110,1097,1118,1087,7113
2080,1096,1086,1098,1081,1575
2081,1119,1104,1129,1089,5163
2082,1103,1095,1115,1080,5649
2083,1045,1046,1030,1061,1549
2084,1124,1101,1137,1096,3531
2085,1136,1108,1146,1110,10705
2086,1140,1114,1147,1116,13183
2087,1119,1097,1107,1126,12311
2088,1138,1111,1065,1194,27462
2089,1126,1107,1002,1198,11090
2090,1135,1113,1029,1201,13040
2092,1147,1110,1132,1162,6726
2093,1116,1094,1083,1140,21610
2094,1125,1105,1057,1170,5491
2095,1109,1086,993,1175,15066
2096,1111,1095,1058,1129,13881
2097,1111,1096,1099,1088,14391
2099,1056,1044,1031,1059,36707
2100,1092,1072,1097,1078,19453
2101,1082,1069,1071,1068,17993
2102,1117,1092,1135,1087,6135
2103,1093,1080,1080,1076,10175
2104,1115,1094,1093,1133,3089
2105,1138,1109,1116,1166,1841
2106,1114,1095,1094,1118,9030
2107,1127,1104,1122,1130,14479
2108,1117,1095,1074,1164,1900
2109,933,926,807,1110,1788
2110,1131,1100,1091,1173,9806
2111,1088,1066,1042,1124,13430
2112,1067,1053,1032,1087,27782
2113,1072,1056,1018,1105,16810
2114,1065,1054,1003,1109,21484
2115,1000,983,989,1020,9479
2116,1005,996,983,1031,6221
2117,1036,1019,1006,1066,19025
2118,1084,1065,1059,1106,21556
2119,1157,1128,1138,1168,10898
2120,1121,1098,1101,1139,19628
2121,1111,1090,1052,1151,24646
2122,1063,1040,990,1128,28516
2125,1154,1119,1146,1144,15953
2126,1143,1112,1135,1139,18805
2127,1132,1108,1061,1171,8149
2128,993,974,954,1044,3171
2130,1061,1048,968,1139,6588
2131,1009,993,921,1083,22183
2132,1044,1024,1010,1091,10387
2133,1015,1005,996,1042,10722
2134,1008,972,903,1097,12475
2135,1066,1034,990,1124,23100
2136,1038,1025,1012,1056,6734
2137,1084,1068,1048,1101,24008
2138,1090,1072,1009,1141,13521
2140,1019,1006,936,1085,12528
2141,959,935,949,1001,25496
2142,915,897,892,980,22514
2143,920,900,920,970,7457
2144,888,855,888,958,33109
2145,1005,1002,986,1016,71314
2146,1017,1022,1009,1007,15675
2147,997,996,1001,986,35085
2148,961,966,967,952,58645
2150,990,982,882,1068,24845
2151,1048,1037,1004,1085,20222
2152,1047,1040,1011,1067,10224
2153,1111,1095,1109,1089,52436
2154,1131,1101,1121,1124,37906
2155,1150,1109,1177,1092,44018
2156,1143,1113,1153,1100,12345
2157,1085,1068,1111,1047,3706
2158,1117,1088,1125,1094,8277
2159,1113,1095,1127,1087,4538
2160,927,914,924,969,32880
2161,894,874,911,941,28263
2162,902,887,922,931,17015
2163,790,753,814,872,8773
2164,924,911,967,920,18387
2165,853,819,899,904,39493
2166,815,765,875,878,49726
2167,1001,1004,1004,990,7547
2168,886,863,938,893,41870
2170,949,933,974,955,95108
2171,1058,1034,1115,993,24387
2172,1143,1118,1161,1085,2265
2173,1086,1088,1082,1044,13258
2174,945,933,965,912,423
2175,1007,997,1072,949,1935
2176,973,952,1026,956,46068
2177,908,869,970,924,15203
2178,1043,1028,1092,976,4819
2179,969,961,1017,930,5410
2190,919,900,946,964,24717
2191,981,968,986,1003,6035
2192,918,903,919,962,12567
2193,1014,1002,999,1047,13981
2194,917,895,887,984,21239
2195,872,860,858,947,25204
2196,917,900,941,953,29581
2197,937,924,960,950,8180
2198,1012,1010,1041,975,8672
2199,911,896,938,938,16019
2200,906,883,912,962,40589
2203,1033,1015,969,1104,12964
2204,998,972,948,1071,24586
2205,990,970,971,1023,12847
2206,1023,1008,1033,1032,18316
2207,1011,1001,1010,1024,27529
2208,1005,994,1008,1010,11521
2209,993,983,979,1017,14585
2210,992,976,990,1006,27994
2211,1015,1011,1013,1007,16193
2212,992,986,994,989,14304
2213,1033,1028,1036,1010,20355
2214,1061,1065,1095,983,3854
2216,989,978,949,1023,26045
2217,1017,1009,975,1046,23611
